page_num,table_index,table_row_index,classification,col_count,col_count_flag,col_00,col_01,col_02,col_03,col_04,col_05,col_06,col_00_raw_repr
5,0,12,ACCEPTED,7,OK,24-017,ITT,Construction of South Uplands Entrance Area,29-May-24,Landesign Ltd.,NA,No,'24-017'
5,0,17,ACCEPTED,7,OK,23-407,ITT,Annacis Island Wastewater Treatment Plant (AIWWTP) Emergency Sanitary Sewer and Maintenance Holes Rehabilitation,3-Jun-24,Clearway Construction Inc.,NA,No,'23-407'
5,0,19,ACCEPTED,7,OK,23-415,RFP,Kennedy Newton Main - Contract 3A - Kennedy Newton Reservoir to 88th Avenue and 120th Street,3-Jun-24,Michels Canada Co.,NA,No,'23-415'
5,0,26,ACCEPTED,7,OK,23-067,RFP-MA,"Electrical, Instrumentation and Control (EIC) Consulting Engineering Services for Liquid Waste Services Collection Systems",12-Jun-24,InSynch Engineering,NA,No,'23-067'
5,0,27,ACCEPTED,7,OK,23-067,RFP-MA,"Electrical, Instrumentation and Control (EIC) Consulting Engineering Services for Liquid Waste Services Collection Systems",12-Jun-24,EMB Management Ltd.,NA,No,'23-067'
5,0,28,ACCEPTED,7,OK,23-067,RFP-MA,"Electrical, Instrumentation and Control (EIC) Consulting Engineering Services for Liquid Waste Services Collection Systems",12-Jun-24,Clean Energy Consulting Inc.,NA,No,'23-067'
5,0,29,ACCEPTED,7,OK,23-067,RFP-MA,"Electrical, Instrumentation and Control (EIC) Consulting Engineering Services for Liquid Waste Services Collection Systems",12-Jun-24,QCA Systems Ltd.,NA,No,'23-067'
5,0,30,ACCEPTED,7,OK,23-067,RFP-MA,"Electrical, Instrumentation and Control (EIC) Consulting Engineering Services for Liquid Waste Services Collection Systems",12-Jun-24,CIMA Canada Inc.,NA,No,'23-067'
5,0,31,ACCEPTED,7,OK,23-067,RFP-MA,"Electrical, Instrumentation and Control (EIC) Consulting Engineering Services for Liquid Waste Services Collection Systems",12-Jun-24,Stantec Consulting Ltd.,NA,No,'23-067'
5,0,32,ACCEPTED,7,OK,23-067,RFP-MA,"Electrical, Instrumentation and Control (EIC) Consulting Engineering Services for Liquid Waste Services Collection Systems",12-Jun-24,AECOM Canada Ltd.,NA,No,'23-067'
5,0,33,ACCEPTED,7,OK,23-067,RFP-MA,"Electrical, Instrumentation and Control (EIC) Consulting Engineering Services for Liquid Waste Services Collection Systems",12-Jun-24,Kontzamanis Graumann Smith MacMillan Inc.,NA,No,'23-067'
5,0,34,ACCEPTED,7,OK,23-067,RFP-MA,"Electrical, Instrumentation and Control (EIC) Consulting Engineering Services for Liquid Waste Services Collection Systems",12-Jun-24,Associated Engineering (B.C.) Ltd.,NA,No,'23-067'
5,0,35,ACCEPTED,7,OK,23-067,RFP-MA,"Electrical, Instrumentation and Control (EIC) Consulting Engineering Services for Liquid Waste Services Collection Systems",12-Jun-24,Klohn Crippen Berger Ltd.,NA,No,'23-067'
5,0,37,ACCEPTED,7,OK,24-122,RFP,Manor House - Design Consulting Services for Interior and Exterior Upgrade,16-Jun-24,EXP Services Inc.,NA,No,'24-122'
5,0,38,ACCEPTED,7,OK,24-122,RFP,Manor House - Design Consulting Services for Interior and Exterior Upgrade,16-Jun-24,Francl Architecture Inc.,NA,No,'24-122'
6,0,1,ACCEPTED,7,OK,23-419,RFP,Customer Surveys Program,17-Jun-24,PRA Inc.,NA,No,'23-419'
6,0,2,ACCEPTED,7,OK,23-419,RFP,Customer Surveys Program,17-Jun-24,Leger Marketing Alberta Inc.,NA,No,'23-419'
6,0,3,ACCEPTED,7,OK,23-419,RFP,Customer Surveys Program,17-Jun-24,Customer Service Professionals Network Inc.,NA,No,'23-419'
6,0,4,ACCEPTED,7,OK,23-419,RFP,Customer Surveys Program,17-Jun-24,Justason Market Intelligence Inc.,NA,No,'23-419'
6,0,6,ACCEPTED,7,OK,23-266,RFP,Iona Island Wastewater Treatment Plant I/O Upgrade Project,19-Jun-24,J A Electric Inc.,NA,No,'23-266'
6,0,9,ACCEPTED,7,OK,23-435,ITT,Construction Services for Minato West Building Envelope Rehabilitation,21-Jun-24,MetroVan Construction Ltd.,NA,No,'23-435'
6,0,10,ACCEPTED,7,OK,23-435,ITT,Construction Services for Minato West Building Envelope Rehabilitation,21-Jun-24,Roma Building Restoration Ltd.,NA,No,'23-435'
6,0,11,ACCEPTED,7,OK,23-435,ITT,Construction Services for Minato West Building Envelope Rehabilitation,21-Jun-24,New City Contracting Ltd.,NA,No,'23-435'
6,0,12,ACCEPTED,7,OK,23-435,ITT,Construction Services for Minato West Building Envelope Rehabilitation,21-Jun-24,RJS Construction Ltd.,NA,No,'23-435'
6,0,13,ACCEPTED,7,OK,23-435,ITT,Construction Services for Minato West Building Envelope Rehabilitation,21-Jun-24,Eggert Projects Ltd.,NA,No,'23-435'
6,0,14,ACCEPTED,7,OK,23-435,ITT,Construction Services for Minato West Building Envelope Rehabilitation,21-Jun-24,All Round Home Improvements & Restorations Ltd.,NA,No,'23-435'
6,0,18,ACCEPTED,7,OK,24-046,Co-Operative Procurement,Supply and Delivery of Motor Grader for the Watershed and Environmental Management Division,24-Jun-24,Brandt Tractor Ltd. (John Deere Construction Retail Sales),NA,No,'24-046'
6,0,24,ACCEPTED,7,OK,22-452,RFP,Construction of Header Replacement for Harbour Pump Station,24-Jun-24,Brymark Installations Group Inc.,NA,No,'22-452'
6,0,27,ACCEPTED,7,OK,24-226,ITQ,Heather Place C - Quantity Surveyor Services ITQ,24-Jun-24,BTY Consultancy Group Ltd.,NA,No,'24-226'
6,0,29,ACCEPTED,7,OK,23-271,ITT,Woodhaven Boardwalk Replacement Project,26-Jun-24,Platinum Stone Contracting Ltd.,NA,No,'23-271'
6,0,30,ACCEPTED,7,OK,23-271,ITT,Woodhaven Boardwalk Replacement Project,26-Jun-24,Park Solutions Inc.,NA,No,'23-271'
6,0,33,ACCEPTED,7,OK,24-162,RFP,Construction of the Phase 2 Perimeter Trail Expansion in Campbell Valley Regional Park,3-Jul-24,Cedar Crest Lands (B.C.) Ltd.,NA,No,'24-162'
6,0,35,ACCEPTED,7,OK,23-147,RFP,Annacis Island Wastewater Treatment Plant Secondary Clarifiers Service Areas 4-6 I/O Migration Consulting Engineering Services,3-Jul-24,BBA Engineering Ltd.,NA,No,'23-147'
6,0,36,ACCEPTED,7,OK,23-147,RFP,Annacis Island Wastewater Treatment Plant Secondary Clarifiers Service Areas 4-6 I/O Migration Consulting Engineering Services,3-Jul-24,Brown & Caldwell,NA,No,'23-147'
7,0,2,ACCEPTED,7,OK,24-247,ITQ,Palisade Outlet Works Rehabilitation,17-Jul-24,Spectrum Safety Group,NA,No,'24-247'
7,0,4,ACCEPTED,7,OK,24-175,RFP,Regional Economic Development Strategy (REDS) Phase 1,18-Jul-24,AE COM Canada,NA,No,'24-175'
7,0,5,ACCEPTED,7,OK,24-175,RFP,Regional Economic Development Strategy (REDS) Phase 1,18-Jul-24,Cascadia Strategy Consulting,NA,No,'24-175'
7,0,6,ACCEPTED,7,OK,24-175,RFP,Regional Economic Development Strategy (REDS) Phase 1,18-Jul-24,Deetken Enterprises,NA,No,'24-175'
7,0,7,ACCEPTED,7,OK,24-175,RFP,Regional Economic Development Strategy (REDS) Phase 1,18-Jul-24,Deloitte,NA,No,'24-175'
7,0,8,ACCEPTED,7,OK,24-175,RFP,Regional Economic Development Strategy (REDS) Phase 1,18-Jul-24,EBP US,NA,No,'24-175'
7,0,9,ACCEPTED,7,OK,24-175,RFP,Regional Economic Development Strategy (REDS) Phase 1,18-Jul-24,KPMG LLP,NA,No,'24-175'
7,0,10,ACCEPTED,7,OK,24-175,RFP,Regional Economic Development Strategy (REDS) Phase 1,18-Jul-24,Optimus SBR,NA,No,'24-175'
7,0,11,ACCEPTED,7,OK,24-175,RFP,Regional Economic Development Strategy (REDS) Phase 1,18-Jul-24,Price Waterhouse,NA,No,'24-175'
7,0,12,ACCEPTED,7,OK,24-175,RFP,Regional Economic Development Strategy (REDS) Phase 1,18-Jul-24,Quatalyst Research Group,NA,No,'24-175'
7,0,13,ACCEPTED,7,OK,24-175,RFP,Regional Economic Development Strategy (REDS) Phase 1,18-Jul-24,Resonance Consulting Agency,NA,No,'24-175'
7,0,16,ACCEPTED,7,OK,22-481,RFP,Construction of South Surrey Interceptor Delta Section Air Management Facility Project,21-Jul-24,Industra Construction Corp.,NA,No,'22-481'
7,0,25,ACCEPTED,7,OK,23-258,RFP-MA,Traffic Engineering Consulting Services,26-Jul-24,Arcadis Professional Services (Canada) Inc.,NA,No,'23-258'
7,0,26,ACCEPTED,7,OK,23-258,RFP-MA,Traffic Engineering Consulting Services,26-Jul-24,Watt Consulting Group,NA,No,'23-258'
7,0,27,ACCEPTED,7,OK,23-258,RFP-MA,Traffic Engineering Consulting Services,26-Jul-24,ISL Engineering and Land Services Ltd.,NA,No,'23-258'
7,0,33,ACCEPTED,7,OK,23-432,RFP-MA,Civil Construction Inspection Services,2-Aug-24,k2AE Engineering & Consulting Ltd.,NA,No,'23-432'
7,0,34,ACCEPTED,7,OK,23-432,RFP-MA,Civil Construction Inspection Services,2-Aug-24,AXIS Inspection Group Ltd.,NA,No,'23-432'
7,0,35,ACCEPTED,7,OK,23-432,RFP-MA,Civil Construction Inspection Services,2-Aug-24,Aplin & Martin Consultants Ltd.,NA,No,'23-432'
7,0,36,ACCEPTED,7,OK,23-432,RFP-MA,Civil Construction Inspection Services,2-Aug-24,ISL Engineering and Land Services Ltd.,NA,No,'23-432'
7,0,37,ACCEPTED,7,OK,23-432,RFP-MA,Civil Construction Inspection Services,2-Aug-24,Project Talent Acquisition Group Inc.,NA,No,'23-432'
8,0,1,ACCEPTED,7,OK,24-013,RFP,Reusable Cup & Container Platform,7-Aug-24,Circular Solutions Inc.,NA,No,'24-013'
8,0,3,ACCEPTED,7,OK,23-268,ITT,"Site Preparation, Installation, Tie-in Connections and Commissioning for the IIWWTP Pilot Plant Contract",12-Aug-24,Pomerleau Inc.,NA,No,'23-268'
8,0,4,ACCEPTED,7,OK,23-268,ITT,"Site Preparation, Installation, Tie-in Connections and Commissioning for the IIWWTP Pilot Plant Contract",12-Aug-24,Tritech Group Ltd.,NA,No,'23-268'
8,0,11,ACCEPTED,7,OK,24-124,RFP,Water Supply Plan Using Adaptive Pathways,16-Aug-24,Carollo Engineers Canada Ltd.,NA,No,'24-124'
8,0,12,ACCEPTED,7,OK,24-124,RFP,Water Supply Plan Using Adaptive Pathways,16-Aug-24,CDM Smith Canada ULC,NA,No,'24-124'
