page_num,classification,col_count,col_count_flag,col_00,col_01,col_02,col_03,col_04,col_05,col_06,col_00_raw_repr
4,ACCEPTED,7,OK,22-126,RFP,Barge Berth Design for the Iona Island Wastewater Treatment Plant Upgrade,2023-04-05,SNC Lavalin Inc.,N/A,No,'22-126'
4,ACCEPTED,7,OK,22-498,ITT,Jervis Pump Station Temporary Genset,2023-04-05,Regehr Contracting Ltd.,"$ 547,683.00",Yes,'22-498'
4,ACCEPTED,7,OK,22-498,ITT,Jervis Pump Station Temporary Genset,2023-04-05,Drake Excavating (2016) Ltd.,N/A,No,'22-498'
4,ACCEPTED,7,OK,23-092,ITT,Coastal Pacific Landscaping Ltd,2023-04-10,Coastal Pacific Landscaping Ltd,"$ 81,945.00",Yes,'23-092'
4,ACCEPTED,7,OK,22-235,RFP,Engineering and Design Services - Lynn Headwaters Baden Powell Trail,2023-04-11,Morrison Hershfield Limited,"$ 79,792.00",Yes,'22-235'
4,ACCEPTED,7,OK,22-235,RFP,Engineering and Design Services - Lynn Headwaters Baden Powell Trail,2023-04-11,ISL Engineering & Land Services,N/A,No,'22-235'
4,ACCEPTED,7,OK,22-235,RFP,Engineering and Design Services - Lynn Headwaters Baden Powell Trail,2023-04-11,Parsons Inc.,N/A,No,'22-235'
4,ACCEPTED,7,OK,22-235,RFP,Engineering and Design Services - Lynn Headwaters Baden Powell Trail,2023-04-11,R.F. Binnie & Associates Ltd.,N/A,No,'22-235'
4,ACCEPTED,7,OK,22-235,RFP,Engineering and Design Services - Lynn Headwaters Baden Powell Trail,2023-04-11,CVL Engineers Inc.,N/A,No,'22-235'
4,ACCEPTED,7,OK,22-235,RFP,Engineering and Design Services - Lynn Headwaters Baden Powell Trail,2023-04-11,Onsite Engineering Ltd.,N/A,No,'22-235'
4,ACCEPTED,7,OK,22-001,RFP,High Speed Wide Area Network (WAN) - Network Services,2023-04-20,TELUS Communications Inc.,"$ 334,800.00",Yes,'22-001'
4,ACCEPTED,7,OK,22-156,RFP,Archaeological Consulting Services for Central Park Main - 10th Avenue to Westburnco,2023-04-21,Katzie Development Limited Partnership (KDLP),"$ 365,210.81",Yes,'22-156'
4,ACCEPTED,7,OK,22-156,RFP,Archaeological Consulting Services for Central Park Main - 10th Avenue to Westburnco,2023-04-21,Terra Archaeology Limited,N/A,No,'22-156'
4,ACCEPTED,7,OK,22-380,RFP,Kennedy Newton Main - Phase 3C 86th Avenue and 120th Street to 84th Avenue and 123rd Street,2023-04-21,B&B Contracting (2012) Ltd.,"$ 27,755,600.00",Yes,'22-380'
4,ACCEPTED,7,OK,22-380,RFP,Kennedy Newton Main - Phase 3C 86th Avenue and 120th Street to 84th Avenue and 123rd Street,2023-04-21,Matcon Civil Constructors,N/A,No,'22-380'
