vendor_name_key,vendor_name,variant_count,vendor_name_display,merge_confidence,merge_notes,variants_pipe
inland kenworth,"['Inland Kenworth', 'Inland Kenworth Ltd.']",2,,,,Inland Kenworth | Inland Kenworth Ltd.
inlailawatash partnership,"['INLAILAWATASH LIMITED PARTNERSHIP', 'Inlailawatash Limited Partnership']",2,,,,INLAILAWATASH LIMITED PARTNERSHIP | Inlailawatash Limited Partnership
ideaspace consulting,"['Ideaspace Consulting Inc', 'Ideaspace Consulting Inc.']",2,,,,Ideaspace Consulting Inc | Ideaspace Consulting Inc.
pure technologies,"['PURE TECHNOLOGIES LTD', 'Pure Technologies Ltd.']",2,,,,PURE TECHNOLOGIES LTD | Pure Technologies Ltd.
houle electric,"['HOULE ELECTRIC LIMITED', 'Houle Electric Ltd']",2,,,,HOULE ELECTRIC LIMITED | Houle Electric Ltd
status electrical,"['STATUS ELECTRICAL CORP', 'Status Electrical Corporation']",2,,,,STATUS ELECTRICAL CORP | Status Electrical Corporation
stasuk testing inspection,"['Stasuk Testing & Inspection Ltd', 'Stasuk Testing & Inspection Ltd.']",2,,,,Stasuk Testing & Inspection Ltd | Stasuk Testing & Inspection Ltd.
heatherbrae builders,"['Heatherbrae Builders Co. Ltd', 'Heatherbrae Builders Co., Ltd']",2,,,,"Heatherbrae Builders Co. Ltd | Heatherbrae Builders Co., Ltd"
headwater management,"['HEADWATER MANAGEMENT LTD', 'Headwater Management Ltd.']",2,,,,HEADWATER MANAGEMENT LTD | Headwater Management Ltd.
halton recycling dba emterra environmental,"['Halton Recycling Ltd. Dba Emterra Environmental', 'Halton Recycling Ltd. dba. Emterra Environmental']",2,,,,Halton Recycling Ltd. Dba Emterra Environmental | Halton Recycling Ltd. dba. Emterra Environmental
gs bhullar trucking,"['G.S. BHULLAR TRUCKING', 'GS Bhullar Trucking']",2,,,,G.S. BHULLAR TRUCKING | GS Bhullar Trucking
sprucewood construction,"['SPRUCEWOOD CONSTRUCTION LTD.', 'Sprucewood Construction Ltd.']",2,,,,SPRUCEWOOD CONSTRUCTION LTD. | Sprucewood Construction Ltd.
pomerleau,"['Pomerleau Inc.', 'Pomerleau, Inc.']",2,,,,"Pomerleau Inc. | Pomerleau, Inc."
gpm civil contracting,"['GPM CIVIL CONTRACTING INC', 'GPM Civil Contracting Inc.']",2,,,,GPM CIVIL CONTRACTING INC | GPM Civil Contracting Inc.
platinum stone contracting,"['PLATINUM STONE CONTRACTING', 'Platinum Stone Contracting Ltd.']",2,,,,PLATINUM STONE CONTRACTING | Platinum Stone Contracting Ltd.
spectrum safety group,"['SPECTRUM SAFETY GROUP Inc', 'Spectrum Safety Group']",2,,,,SPECTRUM SAFETY GROUP Inc | Spectrum Safety Group
gfl environmental,"['GFL ENVIRONMENTAL INC.', 'GFL Environmental Inc.']",2,,,,GFL ENVIRONMENTAL INC. | GFL Environmental Inc.
pinna sustainability,"['Pinna Sustainability', 'Pinna Sustainability Inc.']",2,,,,Pinna Sustainability | Pinna Sustainability Inc.
petro canada lubrications,"['PETRO CANADA LUBRICATIONS INC.', 'Petro Canada Lubrications Inc.']",2,,,,PETRO CANADA LUBRICATIONS INC. | Petro Canada Lubrications Inc.
perkins eastman architects canada,"['Perkins Eastman Architects Canada', 'Perkins Eastman Architects Canada, Ltd']",2,,,,"Perkins Eastman Architects Canada | Perkins Eastman Architects Canada, Ltd"
flynn canada,"['FLYNN CANADA LTD', 'Flynn Canada Ltd.']",2,,,,FLYNN CANADA LTD | Flynn Canada Ltd.
peak construction,"['Peak Construction Ltd', 'Peak Construction Ltd.']",2,,,,Peak Construction Ltd | Peak Construction Ltd.
flatiron constructors canada,"['Flatiron Constructors Canada Limited', 'Flatiron Constructors Canada Ltd.']",2,,,,Flatiron Constructors Canada Limited | Flatiron Constructors Canada Ltd.
finning international,"['FINNING INTERNATIONAL INC.', 'Finning International Inc.']",2,,,,FINNING INTERNATIONAL INC. | Finning International Inc.
pcl constructors westcoast,"['PCL CONSTRUCTORS WESTCOAST INC.', 'PCL Constructors Westcoast Inc.']",2,,,,PCL CONSTRUCTORS WESTCOAST INC. | PCL Constructors Westcoast Inc.
parsons,"['Parsons Inc', 'Parsons Inc.']",2,,,,Parsons Inc | Parsons Inc.
exp services,"['EXP Services Inc', 'EXP Services Inc.']",2,,,,EXP Services Inc | EXP Services Inc.
park solutions,"['PARK SOLUTIONS INC', 'Park Solutions Inc.']",2,,,,PARK SOLUTIONS INC | Park Solutions Inc.
softac systems,"['Softac Systems Ltd', 'Softac Systems Ltd.']",2,,,,Softac Systems Ltd | Softac Systems Ltd.
excel advisory services,"['Excel Advisory Services Ltd', 'Excel Advisory Services Ltd.']",2,,,,Excel Advisory Services Ltd | Excel Advisory Services Ltd.
palmieri bros paving,"['PALMIERI BROS. PAVING LTD.', 'Palmieri Bros Paving Ltd.']",2,,,,PALMIERI BROS. PAVING LTD. | Palmieri Bros Paving Ltd.
essa technologies,"['ESSA Technologies Ltd.', 'Essa Technologies Limited']",2,,,,ESSA Technologies Ltd. | Essa Technologies Limited
p sekhon trucking,"['P Sekhon Trucking Ltd.', 'P. Sekhon Trucking Ltd.']",2,,,,P Sekhon Trucking Ltd. | P. Sekhon Trucking Ltd.
encompass electrical solutions,"['enCompass Electrical Solutions', 'encompass Electrical Solutions']",2,,,,enCompass Electrical Solutions | encompass Electrical Solutions
oscar renda contracting of canada,"['Oscar Renda Contracting Of Canada', 'Oscar Renda Contracting of Canada']",2,,,,Oscar Renda Contracting Of Canada | Oscar Renda Contracting of Canada
smith cameron process solutions,"['SMITH CAMERON PROCESS SOLUTIONS', 'Smith Cameron Process Solutions']",2,,,,SMITH CAMERON PROCESS SOLUTIONS | Smith Cameron Process Solutions
dynamic ocean consulting,"['Dynamic Ocean Consulting Limited', 'Dynamic Ocean Consulting Ltd']",2,,,,Dynamic Ocean Consulting Limited | Dynamic Ocean Consulting Ltd
dura seal,"['Dura Seal Ltd', 'Dura Seal Ltd.']",2,,,,Dura Seal Ltd | Dura Seal Ltd.
drake excavating 2016,"['Drake Excavating (2016) Ltd', 'Drake Excavating (2016) Ltd.']",2,,,,Drake Excavating (2016) Ltd | Drake Excavating (2016) Ltd.
nucor environmental solutions,"['NUCOR ENVIRONMENTAL SOLUTIONS LTD', 'Nucor Environmental Solutions Ltd.']",2,,,,NUCOR ENVIRONMENTAL SOLUTIONS LTD | Nucor Environmental Solutions Ltd.
site marketing partners,"['SITE Marketing Partners Inc', 'SITE Marketing Partners Inc.']",2,,,,SITE Marketing Partners Inc | SITE Marketing Partners Inc.
dillon consulting,"['Dillon Consulting Limited', 'Dillon Consulting Ltd.']",2,,,,Dillon Consulting Limited | Dillon Consulting Ltd.
diamond head consulting,"['DIAMOND HEAD CONSULTING LTD', 'Diamond Head Consulting Ltd.']",2,,,,DIAMOND HEAD CONSULTING LTD | Diamond Head Consulting Ltd.
dhi water environment,"['DHI Water & Environment Inc.', 'DHI Water & Environment, Inc.']",2,,,,"DHI Water & Environment Inc. | DHI Water & Environment, Inc."
north construction,"['NORTH CONSTRUCTION LTD', 'North Construction Ltd']",2,,,,NORTH CONSTRUCTION LTD | North Construction Ltd
deloitte,"['Deloitte', 'Deloitte LLP']",2,,,,Deloitte | Deloitte LLP
norda stelo,"['NORDA STELO INC', 'Norda Stelo Inc.']",2,,,,NORDA STELO INC | Norda Stelo Inc.
sgs axys analytical services,"['SGS AXYS ANALYTICAL SERVICES LTD.', 'SGS AXYS Analytical Services, Ltd.']",2,,,,"SGS AXYS ANALYTICAL SERVICES LTD. | SGS AXYS Analytical Services, Ltd."
