competition_number,competition_type,competition_description,awarded_date,vendor_name,awarded_amount,is_awarded,source_year,amount_missing,is_awarded_flag,amount_scope,group_award_flag,financial_kpi_eligible,awarded_amount_numeric,competition_type_standardized,vendor_name_clean
23-071,ITT,Construction for North Shore Recycling Depot Improvement,2023-08-14,Action Holdings Ltd. O/A Custom Blacktop Co,,No,2023,True,False,not_awarded,False,False,,ITT,Action Holdings Ltd. O/A Custom Blacktop Co
23-141,RFP,Professional Engineering Services for Stoney Creek Trunk Sewer Upgrade,2023-08-21,AECOM Canada Ltd.,"$ 934,945.00",Yes,2023,False,True,vendor_specific,False,True,934945.0,RFP,AECOM Canada Ltd.
23-141,RFP,Professional Engineering Services for Stoney Creek Trunk Sewer Upgrade,2023-08-21,GHD Limited,,No,2023,True,False,not_awarded,False,False,,RFP,GHD Limited
23-141,RFP,Professional Engineering Services for Stoney Creek Trunk Sewer Upgrade,2023-08-21,Parsons Inc.,,No,2023,True,False,not_awarded,False,False,,RFP,Parsons Inc.
23-141,RFP,Professional Engineering Services for Stoney Creek Trunk Sewer Upgrade,2023-08-21,WSP Canada Inc.,,No,2023,True,False,not_awarded,False,False,,RFP,WSP Canada Inc.
23-141,RFP,Professional Engineering Services for Stoney Creek Trunk Sewer Upgrade,2023-08-21,Associated Engineering (B.C.) Ltd.,,No,2023,True,False,not_awarded,False,False,,RFP,Associated Engineering (B.C.) Ltd.
23-141,RFP,Professional Engineering Services for Stoney Creek Trunk Sewer Upgrade,2023-08-21,Jacobs Consultancy Canada Inc.,,No,2023,True,False,not_awarded,False,False,,RFP,Jacobs Consultancy Canada Inc.
23-141,RFP,Professional Engineering Services for Stoney Creek Trunk Sewer Upgrade,2023-08-21,ISL Engineering & Land Services,,No,2023,True,False,not_awarded,False,False,,RFP,ISL Engineering & Land Services
23-173,RFP,Fraser River Acoustic Doppler Current Profiler Study,2023-08-24,ASL Environmental Sciences Inc.,"$ 76,466.00",Yes,2023,False,True,vendor_specific,False,True,76466.0,RFP,ASL Environmental Sciences Inc.
23-173,RFP,Fraser River Acoustic Doppler Current Profiler Study,2023-08-24,WSP Canada Inc.,,No,2023,True,False,not_awarded,False,False,,RFP,WSP Canada Inc.
23-173,RFP,Fraser River Acoustic Doppler Current Profiler Study,2023-08-24,Northwest Hydraulic Consultants Ltd.,,No,2023,True,False,not_awarded,False,False,,RFP,Northwest Hydraulic Consultants Ltd.
23-322,SS/NOIC,Diving and ROV Services - Palisade Lake,2023-08-28,ASI Group Ltd.,"$ 144,782.00",Yes,2023,False,True,vendor_specific,False,True,144782.0,SS/NOIC,ASI Group Ltd.
23-294,SS/NOIC,Major Project Insurance Advisory Services,2023-08-31,In Tech Risk Management Inc.,"$ 450,000.00",Yes,2023,False,True,vendor_specific,False,True,450000.0,SS/NOIC,In Tech Risk Management Inc.
23-343,SS/NOIC,Coquitlam Lake Watershed - Phase 1 Archaeology Study,2023-08-31,BROWN AND OAKES ARCHAEOLOGY,"$ 158,690.00",Yes,2023,False,True,vendor_specific,False,True,158690.0,SS/NOIC,BROWN AND OAKES ARCHAEOLOGY
23-012,ITT,Construction Services for Heather Place B,2023-09-01,Peak Construction Ltd.,"$ 41,956,449.00",Yes,2023,False,True,vendor_specific,False,True,41956449.0,ITT,Peak Construction Ltd.
23-012,ITT,Construction Services for Heather Place B,2023-09-01,Heatherbrae Builders Co. Ltd,,No,2023,True,False,not_awarded,False,False,,ITT,Heatherbrae Builders Co. Ltd
23-136,RFP,Waste-to-Energy Condition Assessment,2023-09-01,HDR Corporation,"$ 305,284.00",Yes,2023,False,True,vendor_specific,False,True,305284.0,RFP,HDR Corporation
23-136,RFP,Waste-to-Energy Condition Assessment,2023-09-01,CWA Engineers Inc.,,No,2023,True,False,not_awarded,False,False,,RFP,CWA Engineers Inc.
23-136,RFP,Waste-to-Energy Condition Assessment,2023-09-01,Asset Performance Partners Inc,,No,2023,True,False,not_awarded,False,False,,RFP,Asset Performance Partners Inc
23-189,RFP,Natural Asset Management for Metro Vancouver,2023-09-01,Green Analytics,"$ 171,482.00",Yes,2023,False,True,vendor_specific,False,True,171482.0,RFP,Green Analytics
23-189,RFP,Natural Asset Management for Metro Vancouver,2023-09-01,KPMG LLP,,No,2023,True,False,not_awarded,False,False,,RFP,KPMG LLP
23-189,RFP,Natural Asset Management for Metro Vancouver,2023-09-01,McElhanney Ltd.,,No,2023,True,False,not_awarded,False,False,,RFP,McElhanney Ltd.
23-189,RFP,Natural Asset Management for Metro Vancouver,2023-09-01,ESSA Technologies Ltd.,,No,2023,True,False,not_awarded,False,False,,RFP,ESSA Technologies Ltd.
23-189,RFP,Natural Asset Management for Metro Vancouver,2023-09-01,AECOM Canada Ltd.,,No,2023,True,False,not_awarded,False,False,,RFP,AECOM Canada Ltd.
23-189,RFP,Natural Asset Management for Metro Vancouver,2023-09-01,Earth Economics,,No,2023,True,False,not_awarded,False,False,,RFP,Earth Economics
